Inquiry_ID,Date,Channel,Category,Department,Root_Cause,Urgency,Response_Hours,Resolution_Hours,Status,CSAT,Repeat_Contact,Current_State_Misrouted,Inquiry_Text
GGU-SIM-01099,09-03-2026,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Financial aid documentation,Normal,19.7,45.1,Open,,1,0,I have a tuition payment question before the upcoming deadline.
GGU-SIM-01100,31-01-2026,Email,Academic Advising,Academic Advising,Degree plan clarification,Medium,1.1,27,Resolved,4,0,1,I want to confirm which courses I still need for graduation and what I should take next term.
GGU-SIM-01101,22-07-2026,Phone (logged),Financial Aid / Student Accounts,Financial Aid / Student Accounts,Scholarship/aid status,Normal,5.4,29,Resolved,4,0,0,I have a tuition payment question before the upcoming deadline.
GGU-SIM-01102,19-06-2026,Email,International Student Support,International Student Support,Enrollment/status question,Medium,7.4,47.1,Resolved,4,0,0,I have a question about my student status documentation and an upcoming deadline today.
GGU-SIM-01103,11-10-2025,Email,Academic Advising,Academic Advising,Policy/requirement clarification,Medium,1.6,65.8,Resolved,5,0,0,I am confused about a degree requirement and need advising support.
GGU-SIM-01104,30-10-2025,Email,Career Services,Career Services,Career appointment,Normal,2.4,36.1,Resolved,4,0,0,I am looking for employer and job-search resources available to students.
GGU-SIM-01105,20-12-2025,Email,Academic Advising,Academic Advising,Concentration change,Normal,3.8,27,Resolved,5,0,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-01106,10-09-2025,Email,Registration / Records,Registrar's Office,Enrollment verification,Normal,9.1,29.9,Resolved,5,0,0,I need an enrollment verification document for an external requirement.
GGU-SIM-01107,03-10-2025,Email,Registration / Records,Registrar's Office,Course availability,Normal,2.6,24.2,Resolved,4,0,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-01108,25-02-2026,Email,Registration / Records,Registrar's Office,Enrollment verification,Normal,1.8,8.5,Resolved,3,0,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-01109,20-06-2026,myGGU/Portal,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Billing balance question,High,1,42.7,Resolved,4,0,0,I have a tuition payment question before the upcoming deadline.
GGU-SIM-01110,28-04-2026,Email,Academic Advising,Academic Advising,Degree plan clarification,Normal,6.6,19.6,Resolved,5,0,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-01111,30-12-2025,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Scholarship/aid status,Normal,6.1,29.7,Resolved,4,0,0,I submitted financial aid documents and want to know if anything else is needed before the deadline.
GGU-SIM-01112,21-11-2025,myGGU/Portal,Registration / Records,Registrar's Office,Enrollment verification,Medium,5.5,21.1,Resolved,4,0,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-01113,18-08-2026,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Financial aid documentation,Medium,8,40.9,Resolved,4,0,0,I need help understanding a charge on my student account.
GGU-SIM-01114,24-03-2026,Email,Career Services,Career Services,Employer/job resource,Normal,10.1,23.7,Resolved,4,1,0,I am looking for employer and job-search resources available to students.
GGU-SIM-01115,06-12-2025,Phone (logged),Academic Advising,Academic Advising,Degree plan clarification,Normal,4.5,36.7,Resolved,5,0,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-01116,06-01-2026,Email,Registration / Records,Registrar's Office,Prerequisite/registration hold,Normal,4.7,39.8,Open,,0,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-01117,08-12-2025,Email,Academic Advising,Academic Advising,Course selection,Medium,2,9.4,Resolved,4,0,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-01118,16-09-2025,myGGU/Portal,IT / Course Access,IT Help Desk,Brightspace/course access,Normal,2.7,20.3,Resolved,4,0,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-01119,07-07-2026,Web Chat,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Financial aid documentation,Normal,2.9,108,Open,,1,0,I submitted financial aid documents and want to know if anything else is needed tomorrow.
GGU-SIM-01120,17-03-2026,myGGU/Portal,Accessibility / Other Support,Student Services / Accessible Education,Accommodation documentation,Normal,11.3,22.2,Resolved,5,0,0,I need help finding the right student service for my situation.
GGU-SIM-01121,01-10-2025,Email,Academic Advising,Academic Advising,Policy/requirement clarification,Normal,3.8,11.9,Resolved,4,0,0,I want to confirm which courses I still need for graduation and what I should take next term.
GGU-SIM-01122,13-01-2026,Email,IT / Course Access,IT Help Desk,Account provisioning delay,Normal,2.4,4.4,Resolved,5,0,0,My myGGU login is not working and I need to check my registration today.
GGU-SIM-01123,22-08-2026,Email,Registration / Records,Registrar's Office,Add/drop deadline question,Normal,5.9,26.4,Resolved,4,0,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-01124,19-01-2026,Email,Registration / Records,Registrar's Office,Course availability,High,2.5,13,Resolved,3,0,0,There is a hold on my registration and I am not sure what I need to do.
GGU-SIM-01125,21-11-2025,myGGU/Portal,Registration / Records,Registrar's Office,Course availability,Normal,4.9,28.6,Resolved,4,0,1,I requested my transcript and need to know the correct process and status.
GGU-SIM-01126,10-01-2026,Web Chat,Career Services,Career Services,Career appointment,Medium,4.8,21.1,Open,,0,0,How can I schedule a career advising appointment?
GGU-SIM-01127,03-05-2026,Web Chat,Academic Advising,Academic Advising,Graduation planning,Normal,17.3,47.4,Resolved,5,0,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-01128,27-05-2026,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Scholarship/aid status,Medium,4.7,20.5,Resolved,5,0,0,I need help understanding a charge on my student account.
GGU-SIM-01129,01-11-2025,Web Chat,Registration / Records,Registrar's Office,Prerequisite/registration hold,Normal,11.2,33.1,Resolved,5,0,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-01130,26-12-2025,myGGU/Portal,Academic Advising,Academic Advising,Course selection,Medium,6.1,14.6,Resolved,4,1,0,I want to confirm which courses I still need for graduation and what I should take next term.
GGU-SIM-01131,11-10-2025,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Billing balance question,Normal,10.7,22.4,Resolved,5,0,0,I submitted financial aid documents and want to know if anything else is needed soon.
GGU-SIM-01132,30-11-2025,Web Chat,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Billing balance question,Medium,17.9,42,Resolved,5,0,1,I have a tuition payment question before the upcoming deadline.
GGU-SIM-01133,02-10-2025,Email,Academic Advising,Academic Advising,Course selection,Normal,2.8,33.1,Resolved,4,0,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-01134,10-12-2025,myGGU/Portal,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Scholarship/aid status,High,12.4,46.6,Resolved,4,0,0,I need help understanding a charge on my student account.
GGU-SIM-01135,25-06-2026,Email,Academic Advising,Academic Advising,Concentration change,Medium,19.1,54.4,Resolved,4,0,0,I am confused about a degree requirement and need advising support.
GGU-SIM-01136,05-07-2026,myGGU/Portal,International Student Support,International Student Support,CPT/OPT information,Normal,7.5,20.1,Resolved,5,0,0,I need guidance on where to ask about CPT or OPT information.
GGU-SIM-01137,14-08-2026,Web Chat,Registration / Records,Registrar's Office,Course availability,Medium,5.1,42,Resolved,4,1,1,I need an enrollment verification document for an external requirement.
GGU-SIM-01138,12-05-2026,myGGU/Portal,Academic Advising,Academic Advising,Course selection,Normal,12.1,42,Resolved,3,0,0,I want to confirm which courses I still need for graduation and what I should take next term.
GGU-SIM-01139,09-12-2025,Web Chat,International Student Support,International Student Support,Visa/status documentation,Medium,4.3,10.3,Resolved,4,0,0,I need guidance on where to ask about CPT or OPT information.
GGU-SIM-01140,11-08-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Brightspace/course access,High,2.2,11.8,Resolved,5,0,0,My myGGU login is not working and I need to check my registration this week.
GGU-SIM-01141,23-05-2026,Email,Registration / Records,Registrar's Office,Enrollment verification,Medium,2.7,13.5,Resolved,5,0,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-01142,18-02-2026,Email,IT / Course Access,IT Help Desk,myGGU portal issue,Normal,11.4,22.7,Resolved,3,1,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-01143,28-07-2026,Email,Registration / Records,Registrar's Office,Prerequisite/registration hold,High,5.8,78.6,Resolved,4,1,0,I need an enrollment verification document for an external requirement.
GGU-SIM-01144,12-02-2026,Email,Registration / Records,Registrar's Office,Enrollment verification,Normal,4.7,39.5,Resolved,3,0,0,I need an enrollment verification document for an external requirement.
GGU-SIM-01145,22-11-2025,myGGU/Portal,IT / Course Access,IT Help Desk,myGGU portal issue,Normal,1.9,30.1,Resolved,3,0,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-01146,08-07-2026,Web Chat,Registration / Records,Registrar's Office,Course availability,High,9.6,37,Resolved,4,0,0,I need help adding a course before the deadline soon. Which office should handle this?
GGU-SIM-01147,08-11-2025,Email,IT / Course Access,IT Help Desk,Login/authentication issue,Normal,10.2,20.2,Resolved,5,0,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-01148,07-06-2026,myGGU/Portal,Registration / Records,Registrar's Office,Transcript/record request,Medium,11.9,29.8,Resolved,5,0,0,I need an enrollment verification document for an external requirement.
GGU-SIM-01149,04-03-2026,Email,Accessibility / Other Support,Student Services / Accessible Education,General student-services routing,Medium,7.1,46,Resolved,3,1,0,I am looking for tutoring support and I am not sure where to start.
GGU-SIM-01150,12-09-2025,Phone (logged),Financial Aid / Student Accounts,Financial Aid / Student Accounts,Payment processing,Normal,6.2,55.2,Resolved,4,0,1,I need help understanding a charge on my student account.
GGU-SIM-01151,17-06-2026,myGGU/Portal,Registration / Records,Registrar's Office,Enrollment verification,Normal,2.8,68.5,Resolved,3,0,0,I need an enrollment verification document for an external requirement.
GGU-SIM-01152,28-10-2025,myGGU/Portal,Accessibility / Other Support,Student Services / Accessible Education,Temporary accommodation,Normal,4.3,23.1,Resolved,3,0,1,I need information about requesting an academic accommodation.
GGU-SIM-01153,27-04-2026,myGGU/Portal,International Student Support,International Student Support,Enrollment/status question,High,3.8,14.7,Resolved,4,0,0,I am traveling soon and want to confirm what student documentation I should review.
GGU-SIM-01154,10-04-2026,Email,International Student Support,International Student Support,Visa/status documentation,High,9,38.9,Resolved,4,1,0,I am traveling soon and want to confirm what student documentation I should review.
GGU-SIM-01155,24-12-2025,myGGU/Portal,Registration / Records,Registrar's Office,Course availability,Medium,6,10.3,Resolved,4,0,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-01156,06-12-2025,myGGU/Portal,Academic Advising,Academic Advising,Course selection,Medium,3.7,21.8,Resolved,4,0,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-01157,15-02-2026,Web Chat,Accessibility / Other Support,Student Services / Accessible Education,Wellness/resource question,Medium,2.5,12.4,Resolved,5,0,0,I am looking for tutoring support and I am not sure where to start.
GGU-SIM-01158,14-04-2026,Email,IT / Course Access,IT Help Desk,Login/authentication issue,Normal,3.3,16.7,Resolved,5,0,0,I enrolled in my class but I still cannot access the course in Brightspace and it starts soon.
GGU-SIM-01159,14-03-2026,Email,IT / Course Access,IT Help Desk,Account provisioning delay,Normal,7.1,39.9,Resolved,5,0,0,I enrolled in my class but I still cannot access the course in Brightspace and it starts today.
GGU-SIM-01160,07-07-2026,Email,Accessibility / Other Support,Student Services / Accessible Education,Wellness/resource question,Normal,3.5,22,Resolved,3,0,0,I have a temporary condition and want to understand available support options.
GGU-SIM-01161,04-09-2025,Phone (logged),Academic Advising,Academic Advising,Concentration change,Medium,11.7,21.8,Resolved,4,0,1,I am confused about a degree requirement and need advising support.
GGU-SIM-01162,27-12-2025,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Billing balance question,High,5.3,20.8,Resolved,5,0,0,I need help understanding a charge on my student account.
GGU-SIM-01163,30-11-2025,Email,International Student Support,International Student Support,International student resource,Medium,5,20.3,Resolved,4,1,0,I need guidance on where to ask about CPT or OPT information.
GGU-SIM-01164,29-01-2026,Web Chat,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Financial aid documentation,Medium,5.2,11.1,Resolved,4,0,0,I need help understanding a charge on my student account.
GGU-SIM-01165,06-03-2026,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Billing balance question,Medium,16.2,64.9,Resolved,4,0,0,My account shows a balance and I need to understand whether my aid has been applied.
GGU-SIM-01166,17-02-2026,myGGU/Portal,International Student Support,International Student Support,Visa/status documentation,Medium,2.6,26.9,Resolved,4,0,0,I have a question about my student status documentation and an upcoming deadline soon.
GGU-SIM-01167,22-10-2025,Phone (logged),IT / Course Access,IT Help Desk,Login/authentication issue,High,5.1,29.4,Resolved,4,1,0,My myGGU login is not working and I need to check my registration this week.
GGU-SIM-01168,02-06-2026,Email,Career Services,Career Services,Networking/event question,Normal,9.3,21.7,Resolved,4,1,0,I would like help reviewing my resume and preparing for an interview.
GGU-SIM-01169,20-10-2025,myGGU/Portal,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Scholarship/aid status,High,11.7,36,Resolved,4,0,0,I submitted financial aid documents and want to know if anything else is needed soon.
GGU-SIM-01170,26-03-2026,myGGU/Portal,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Financial aid documentation,Medium,14.2,21.3,Resolved,3,0,0,My account shows a balance and I need to understand whether my aid has been applied.
GGU-SIM-01171,23-05-2026,myGGU/Portal,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Tuition deadline,Medium,12.3,18.2,Resolved,4,0,0,I submitted financial aid documents and want to know if anything else is needed this week.
GGU-SIM-01172,21-07-2026,Email,International Student Support,International Student Support,Visa/status documentation,High,5.1,8.9,Resolved,4,0,0,I need guidance on where to ask about CPT or OPT information.
GGU-SIM-01173,05-05-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Password reset,Normal,6.9,12.6,Resolved,4,0,0,My myGGU login is not working and I need to check my registration this week.
GGU-SIM-01174,31-10-2025,myGGU/Portal,Academic Advising,Academic Advising,Policy/requirement clarification,Normal,3.9,22.8,Resolved,5,0,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-01175,09-08-2026,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Financial aid documentation,High,6.2,19.9,Resolved,4,0,0,I have a tuition payment question before the upcoming deadline.
GGU-SIM-01176,23-04-2026,Phone (logged),Registration / Records,Registrar's Office,Add/drop deadline question,High,1.5,14.2,Resolved,3,0,0,I need an enrollment verification document for an external requirement.
GGU-SIM-01177,17-05-2026,myGGU/Portal,Accessibility / Other Support,Student Services / Accessible Education,Tutoring/resource referral,Normal,12.3,32.4,Resolved,3,1,0,I am looking for tutoring support and I am not sure where to start.
GGU-SIM-01178,16-06-2026,Email,International Student Support,International Student Support,International student resource,Medium,3.5,7.9,Resolved,4,0,0,I have a question about my student status documentation and an upcoming deadline before the deadline.
GGU-SIM-01179,24-11-2025,Phone (logged),IT / Course Access,IT Help Desk,Account provisioning delay,Normal,4.3,28.1,Resolved,4,1,1,My myGGU login is not working and I need to check my registration tomorrow.
GGU-SIM-01180,19-03-2026,myGGU/Portal,Registration / Records,Registrar's Office,Course availability,Medium,6.6,26,Resolved,4,1,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-01181,11-07-2026,Phone (logged),Registration / Records,Registrar's Office,Course availability,Medium,3.4,27.2,Resolved,5,1,0,I need help adding a course before the deadline today. Which office should handle this?
GGU-SIM-01182,20-03-2026,Email,Accessibility / Other Support,Student Services / Accessible Education,Tutoring/resource referral,Medium,7.3,13.5,Resolved,5,0,0,I have a temporary condition and want to understand available support options.
GGU-SIM-01183,27-06-2026,myGGU/Portal,Registration / Records,Registrar's Office,Prerequisite/registration hold,High,1.4,6.9,Resolved,5,0,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-01184,19-07-2026,Email,Academic Advising,Academic Advising,Graduation planning,Medium,2.3,21.2,Resolved,5,0,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-01185,22-02-2026,myGGU/Portal,Accessibility / Other Support,Student Services / Accessible Education,Wellness/resource question,Medium,3.2,47,Resolved,4,0,0,I have a temporary condition and want to understand available support options.
GGU-SIM-01186,08-05-2026,Web Chat,Career Services,Career Services,Employer/job resource,Normal,4.8,26.1,Resolved,4,0,0,I would like help reviewing my resume and preparing for an interview.
GGU-SIM-01187,26-08-2026,Email,Academic Advising,Academic Advising,Concentration change,Normal,4.7,5.6,Resolved,3,0,0,I want to confirm which courses I still need for graduation and what I should take next term.
GGU-SIM-01188,03-04-2026,Email,Academic Advising,Academic Advising,Policy/requirement clarification,High,2.6,48.5,Resolved,4,0,0,I want to confirm which courses I still need for graduation and what I should take next term.
GGU-SIM-01189,15-01-2026,Web Chat,Academic Advising,Academic Advising,Degree plan clarification,Normal,7.2,39.3,Resolved,4,1,1,I am confused about a degree requirement and need advising support.
GGU-SIM-01190,21-10-2025,Web Chat,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Tuition deadline,Medium,3.4,21,Resolved,4,0,0,My account shows a balance and I need to understand whether my aid has been applied.
GGU-SIM-01191,21-09-2025,Web Chat,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Financial aid documentation,Normal,25.9,40.2,Resolved,4,0,0,I need help understanding a charge on my student account.
GGU-SIM-01192,14-09-2025,Web Chat,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Payment processing,High,0.4,66,Resolved,4,1,0,I submitted financial aid documents and want to know if anything else is needed before the deadline.
GGU-SIM-01193,08-01-2026,Phone (logged),Financial Aid / Student Accounts,Financial Aid / Student Accounts,Financial aid documentation,Medium,1.8,31.3,Resolved,4,1,0,I have a tuition payment question before the upcoming deadline.
GGU-SIM-01194,22-11-2025,Email,Registration / Records,Registrar's Office,Prerequisite/registration hold,Normal,2.6,3.6,Resolved,4,0,0,I need an enrollment verification document for an external requirement.
GGU-SIM-01195,03-06-2026,myGGU/Portal,Registration / Records,Registrar's Office,Prerequisite/registration hold,High,3.2,65.3,Resolved,5,0,0,I need an enrollment verification document for an external requirement.
GGU-SIM-01196,15-03-2026,Email,IT / Course Access,IT Help Desk,Brightspace/course access,Normal,12.1,16.3,Resolved,4,0,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-01197,25-06-2026,Email,IT / Course Access,IT Help Desk,myGGU portal issue,Normal,8.6,35.7,Resolved,3,0,0,I reset my password but I still cannot get into the student portal.
GGU-SIM-01198,06-08-2026,Phone (logged),Financial Aid / Student Accounts,Financial Aid / Student Accounts,Scholarship/aid status,Normal,4.1,18,Resolved,4,0,1,I submitted financial aid documents and want to know if anything else is needed this week.
GGU-SIM-01199,29-01-2026,Phone (logged),International Student Support,International Student Support,International student resource,Medium,4,22.9,Resolved,5,0,0,I have a question about my student status documentation and an upcoming deadline before the deadline.
GGU-SIM-01200,24-12-2025,Web Chat,IT / Course Access,IT Help Desk,Brightspace/course access,Normal,12.7,22.2,Resolved,4,0,0,My myGGU login is not working and I need to check my registration tomorrow.
GGU-SIM-01201,13-04-2026,Phone (logged),Academic Advising,Academic Advising,Concentration change,Normal,29.2,50.8,Resolved,4,0,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-01202,28-08-2026,Phone (logged),Financial Aid / Student Accounts,Financial Aid / Student Accounts,Financial aid documentation,Normal,2.6,47.9,Resolved,5,0,0,I need help understanding a charge on my student account.
GGU-SIM-01203,26-08-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Brightspace/course access,High,2.7,53.9,Resolved,3,0,0,My myGGU login is not working and I need to check my registration before the deadline.
GGU-SIM-01204,07-07-2026,Email,IT / Course Access,IT Help Desk,Brightspace/course access,Normal,3.8,45.7,Resolved,4,0,0,My myGGU login is not working and I need to check my registration this week.
GGU-SIM-01205,27-11-2025,myGGU/Portal,Accessibility / Other Support,Student Services / Accessible Education,Accommodation documentation,Medium,9,55.4,Resolved,4,0,0,I have a temporary condition and want to understand available support options.
GGU-SIM-01206,20-01-2026,Email,IT / Course Access,IT Help Desk,Account provisioning delay,Normal,5.5,35.6,Resolved,4,0,0,I enrolled in my class but I still cannot access the course in Brightspace and it starts this week.
GGU-SIM-01207,03-06-2026,myGGU/Portal,Academic Advising,Academic Advising,Policy/requirement clarification,Normal,11.6,87,Resolved,4,1,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-01208,04-09-2025,Email,Registration / Records,Registrar's Office,Course availability,Normal,7.8,16.4,Resolved,4,1,0,I need an enrollment verification document for an external requirement.
GGU-SIM-01209,05-07-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Brightspace/course access,Normal,4.2,63.3,Resolved,3,1,0,I enrolled in my class but I still cannot access the course in Brightspace and it starts tomorrow.
GGU-SIM-01210,18-03-2026,Web Chat,Accessibility / Other Support,Student Services / Accessible Education,General student-services routing,Medium,1.8,25,Resolved,5,0,0,I have a temporary condition and want to understand available support options.
GGU-SIM-01211,04-12-2025,myGGU/Portal,Academic Advising,Academic Advising,Policy/requirement clarification,Normal,9.2,25.5,Resolved,5,0,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-01212,08-07-2026,Email,IT / Course Access,IT Help Desk,Login/authentication issue,Medium,9.6,56.7,Open,,0,1,I enrolled in my class but I still cannot access the course in Brightspace and it starts before the deadline.
GGU-SIM-01213,18-06-2026,Email,Registration / Records,Registrar's Office,Course availability,Medium,2.8,29.5,Resolved,4,1,0,I need help adding a course before the deadline this week. Which office should handle this?
GGU-SIM-01214,19-11-2025,Web Chat,Career Services,Career Services,Career platform access,Normal,5,10,Resolved,5,0,0,How can I schedule a career advising appointment?
GGU-SIM-01215,20-09-2025,Email,IT / Course Access,IT Help Desk,Account provisioning delay,Medium,3.8,37.8,Resolved,3,0,0,I reset my password but I still cannot get into the student portal.
GGU-SIM-01216,19-11-2025,myGGU/Portal,IT / Course Access,IT Help Desk,Account provisioning delay,Normal,4.2,24.4,Resolved,4,0,1,The course is showing on my schedule but not in the online classroom.
GGU-SIM-01217,07-03-2026,Web Chat,Registration / Records,Registrar's Office,Prerequisite/registration hold,Medium,10.1,31.9,Resolved,4,0,0,I requested my transcript and need to know the correct process and status.
GGU-SIM-01218,29-08-2026,Email,Career Services,Career Services,Career platform access,Medium,3.8,22.1,Resolved,4,0,0,I would like help reviewing my resume and preparing for an interview.
GGU-SIM-01219,12-12-2025,Email,Academic Advising,Academic Advising,Policy/requirement clarification,Medium,2.6,33.6,Resolved,4,0,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-01220,24-10-2025,myGGU/Portal,IT / Course Access,IT Help Desk,myGGU portal issue,Medium,8.4,31.1,Resolved,4,0,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-01221,22-09-2025,Email,Academic Advising,Academic Advising,Course selection,Normal,7.8,35.2,Resolved,5,1,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-01222,03-02-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Password reset,Medium,1.9,15.7,Resolved,5,0,0,I reset my password but I still cannot get into the student portal.
GGU-SIM-01223,09-03-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Login/authentication issue,Medium,0.3,42.9,Resolved,4,0,0,I enrolled in my class but I still cannot access the course in Brightspace and it starts tomorrow.
GGU-SIM-01224,11-07-2026,Web Chat,Academic Advising,Academic Advising,Degree plan clarification,Normal,18.5,63.6,Resolved,5,1,0,I am confused about a degree requirement and need advising support.
GGU-SIM-01225,30-11-2025,Email,International Student Support,International Student Support,Enrollment/status question,Medium,5.9,60,Resolved,5,0,0,I am traveling soon and want to confirm what student documentation I should review.
GGU-SIM-01226,15-08-2026,Web Chat,Career Services,Career Services,Career platform access,Normal,6,20.2,Resolved,4,0,1,How can I schedule a career advising appointment?
GGU-SIM-01227,07-12-2025,Email,Registration / Records,Registrar's Office,Enrollment verification,Medium,5.2,10.2,Resolved,5,0,0,I need help adding a course before the deadline this week. Which office should handle this?
GGU-SIM-01228,30-10-2025,Phone (logged),Financial Aid / Student Accounts,Financial Aid / Student Accounts,Payment processing,Medium,9.8,36.7,Resolved,5,0,0,My account shows a balance and I need to understand whether my aid has been applied.
GGU-SIM-01229,02-06-2026,Phone (logged),Registration / Records,Registrar's Office,Transcript/record request,High,14.8,35.8,Resolved,3,0,0,I need an enrollment verification document for an external requirement.
GGU-SIM-01230,13-05-2026,myGGU/Portal,Academic Advising,Academic Advising,Course selection,Medium,5.7,14.2,Resolved,4,0,0,I want to confirm which courses I still need for graduation and what I should take next term.
GGU-SIM-01231,02-01-2026,myGGU/Portal,International Student Support,International Student Support,Enrollment/status question,Medium,2.9,22.5,Resolved,4,1,0,I am traveling soon and want to confirm what student documentation I should review.
GGU-SIM-01232,17-12-2025,Email,IT / Course Access,IT Help Desk,myGGU portal issue,Medium,1.1,16.2,Resolved,5,0,0,I enrolled in my class but I still cannot access the course in Brightspace and it starts today.
GGU-SIM-01233,20-03-2026,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Scholarship/aid status,Medium,6.4,10.6,Resolved,5,0,0,I have a tuition payment question before the upcoming deadline.
GGU-SIM-01234,04-01-2026,Email,Academic Advising,Academic Advising,Graduation planning,Medium,8,22.3,Resolved,4,1,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-01235,14-07-2026,Email,Academic Advising,Academic Advising,Course selection,High,3.6,37.5,Resolved,4,0,1,Can someone review my path to completion before I register for the next term?
GGU-SIM-01236,18-03-2026,myGGU/Portal,IT / Course Access,IT Help Desk,Account provisioning delay,Medium,2.8,73.8,Resolved,4,1,0,My myGGU login is not working and I need to check my registration today.
GGU-SIM-01237,17-03-2026,Phone (logged),Academic Advising,Academic Advising,Policy/requirement clarification,Normal,3.7,74.8,Resolved,4,0,0,I am confused about a degree requirement and need advising support.
GGU-SIM-01238,18-11-2025,Email,Academic Advising,Academic Advising,Concentration change,Medium,2.3,26.6,Resolved,4,0,0,Can someone review my path to completion before I register for the next term?
GGU-SIM-01239,11-09-2025,Phone (logged),IT / Course Access,IT Help Desk,Password reset,High,4.1,16.6,Resolved,4,0,0,My myGGU login is not working and I need to check my registration this week.
GGU-SIM-01240,18-07-2026,Email,IT / Course Access,IT Help Desk,myGGU portal issue,Medium,3.7,14.2,Resolved,4,0,0,The course is showing on my schedule but not in the online classroom.
GGU-SIM-01241,24-03-2026,Web Chat,Registration / Records,Registrar's Office,Prerequisite/registration hold,Normal,4.6,64.2,Resolved,4,0,0,There is a hold on my registration and I am not sure what I need to do.
GGU-SIM-01242,26-04-2026,Email,Registration / Records,Registrar's Office,Course availability,Medium,1.8,7.6,Resolved,3,1,0,I need an enrollment verification document for an external requirement.
GGU-SIM-01243,17-07-2026,Email,International Student Support,International Student Support,Enrollment/status question,Normal,7.3,33.7,Resolved,4,0,0,I need guidance on where to ask about CPT or OPT information.
GGU-SIM-01244,22-08-2026,Web Chat,Academic Advising,Academic Advising,Course selection,Normal,5.7,56.9,Resolved,5,1,0,I am considering changing my concentration and want to understand how it affects my degree plan.
GGU-SIM-01245,30-03-2026,myGGU/Portal,IT / Course Access,IT Help Desk,myGGU portal issue,Medium,5.7,13.2,Resolved,3,0,0,My myGGU login is not working and I need to check my registration soon.
GGU-SIM-01246,19-09-2025,Email,Financial Aid / Student Accounts,Financial Aid / Student Accounts,Billing balance question,High,5.4,39.1,Resolved,5,0,0,My account shows a balance and I need to understand whether my aid has been applied.
GGU-SIM-01247,02-03-2026,Email,Accessibility / Other Support,Student Services / Accessible Education,Tutoring/resource referral,Medium,5.7,15.6,Resolved,4,0,0,I am looking for tutoring support and I am not sure where to start.
GGU-SIM-01248,29-11-2025,Web Chat,Registration / Records,Registrar's Office,Transcript/record request,Medium,1.8,11.2,Resolved,4,0,1,I need help adding a course before the deadline this week. Which office should handle this?
